dhb,age,sex,Maori,Pacific,Asian,MELAA,Other,European,Total Stated,Not Elsewhere Included,Total
Northland,51,Total,600,27,39,6,45,"1,368","2,085",210,"2,292"
Northland,52,M,234,18,15,3,36,696,996,90,"1,083"
Northland,52,F,324,18,33,3,30,714,"1,119",117,"1,236"
Northland,52,Total,558,33,48,6,63,"1,410","2,115",201,"2,319"
Northland,53,M,246,6,12,3,24,666,954,105,"1,059"
Northland,53,F,291,9,33,3,18,687,"1,041",105,"1,146"
Northland,53,Total,537,18,45,3,42,"1,353","1,998",210,"2,208"
Northland,54,M,255,15,12,3,36,636,954,108,"1,062"
Northland,54,F,324,9,24,3,24,774,"1,161",105,"1,266"
Northland,54,Total,576,24,39,3,57,"1,410","2,112",216,"2,325"
Northland,55,M,231,12,18,3,30,693,984,90,"1,071"
Northland,55,F,273,6,24,3,24,750,"1,080",84,"1,161"
Northland,55,Total,504,18,39,6,54,"1,440","2,064",171,"2,235"
Northland,56,M,222,9,12,3,30,717,993,99,"1,089"
Northland,56,F,252,15,27,3,24,759,"1,074",96,"1,173"
Northland,56,Total,474,24,39,3,51,"1,476","2,067",195,"2,262"
Northland,57,M,216,3,9,3,30,747,"1,008",81,"1,086"
Northland,57,F,258,9,21,3,21,735,"1,044",78,"1,125"
Northland,57,Total,474,9,33,3,48,"1,482","2,052",159,"2,211"
Northland,58,M,192,9,9,3,27,678,915,87,"1,005"
Northland,58,F,216,12,21,3,21,750,"1,020",93,"1,110"
Northland,58,Total,408,21,30,3,48,"1,431","1,935",180,"2,115"
Northland,59,M,171,9,9,3,21,726,936,87,"1,023"
Northland,59,F,216,3,18,3,21,726,987,84,"1,068"
Northland,59,Total,390,15,27,3,39,"1,449","1,923",171,"2,091"
Northland,60,M,168,15,12,3,30,723,951,96,"1,047"
Northland,60,F,219,6,15,3,21,756,"1,020",81,"1,101"
Northland,60,Total,390,24,27,3,51,"1,482","1,974",177,"2,148"
Northland,61,M,165,6,6,3,36,735,948,78,"1,026"
Northland,61,F,180,6,15,3,24,759,990,78,"1,068"
Northland,61,Total,345,15,24,3,57,"1,497","1,935",153,"2,091"
Northland,62,M,165,9,9,3,24,732,942,93,"1,032"
Northland,62,F,213,9,21,3,18,768,"1,026",81,"1,107"
Northland,62,Total,381,18,27,3,42,"1,500","1,968",174,"2,142"
Northland,63,M,129,6,3,3,21,768,930,81,"1,014"
Northland,63,F,177,3,12,3,21,747,966,72,"1,041"
Northland,63,Total,306,12,18,3,45,"1,518","1,899",156,"2,052"
Northland,64,M,129,9,3,3,27,747,918,81,"1,002"
Northland,64,F,180,3,6,3,18,753,963,66,"1,026"
Northland,64,Total,309,12,12,3,45,"1,500","1,881",147,"2,031"
Northland,65,M,132,6,3,3,24,834,"1,002",78,"1,083"
Northland,65,F,159,3,18,3,24,762,972,87,"1,056"
Northland,65,Total,291,12,24,3,48,"1,596","1,974",165,"2,139"
Northland,66,M,135,3,9,3,21,765,936,63,999
Northland,66,F,123,3,9,3,15,810,960,66,"1,029"
Northland,66,Total,258,9,18,3,36,"1,575","1,896",129,"2,025"
Northland,67,M,120,3,6,3,24,705,861,66,924
Northland,67,F,147,3,9,3,12,723,897,60,957
Northland,67,Total,267,6,18,3,30,"1,428","1,758",123,"1,881"
Northland,68,M,96,6,3,3,15,684,807,63,873
Northland,68,F,144,9,9,3,9,636,807,63,870
Northland,68,Total,243,15,12,3,27,"1,320","1,617",126,"1,743"
Northland,69,M,96,3,3,3,18,567,690,63,753
Northland,69,F,129,9,6,3,18,576,738,57,795
Northland,69,Total,228,12,12,3,36,"1,143","1,428",117,"1,545"
Northland,70,M,99,3,3,3,18,570,696,51,747
Northland,70,F,111,12,3,3,9,567,705,57,759
Northland,70,Total,210,12,6,3,27,"1,137","1,398",108,"1,506"
Northland,71,M,87,3,6,3,18,636,750,54,801
Northland,71,F,108,3,3,3,12,582,711,54,765
Northland,71,Total,195,6,12,3,30,"1,218","1,458",108,"1,566"
Northland,72,M,102,3,6,3,15,600,726,72,795
Northland,72,F,120,3,3,3,12,576,708,63,771
Northland,72,Total,219,3,9,3,24,"1,176","1,434",132,"1,566"
Northland,73,M,99,3,3,3,9,522,639,54,693
Northland,73,F,117,6,3,3,9,492,624,60,684
Northland,73,Total,216,9,6,3,18,"1,011","1,263",114,"1,377"
Northland,74,M,78,6,3,3,12,489,585,45,627
Northland,74,F,87,3,6,3,6,489,591,36,627
Northland,74,Total,165,9,9,3,15,975,"1,176",78,"1,254"
Northland,75,M,69,3,3,3,12,435,516,36,552
Northland,75,F,90,3,3,3,3,402,498,42,540
Northland,75,Total,156,3,3,3,15,840,"1,017",75,"1,092"
Northland,76,M,63,3,3,3,12,411,495,45,537
Northland,76,F,99,3,6,3,6,405,519,36,558
Northland,76,Total,162,3,6,3,21,822,"1,014",81,"1,095"
Northland,77,M,51,3,3,3,9,357,423,33,456
Northland,77,F,72,3,3,3,9,351,438,33,471
Northland,77,Total,123,3,3,3,18,711,858,66,927
Northland,78,M,42,3,3,3,6,324,378,30,408
Northland,78,F,63,3,6,3,3,336,408,33,444
Northland,78,Total,105,3,9,3,12,660,789,60,852
Northland,79,M,45,3,3,3,3,333,387,33,420
Northland,79,F,57,3,3,3,3,357,423,30,456
Northland,79,Total,105,6,3,3,3,693,810,66,873
Northland,80,M,39,3,3,3,6,300,345,21,366
Northland,80,F,57,3,3,3,3,324,387,33,420
Northland,80,Total,93,3,3,3,12,621,732,54,786
Northland,81,M,30,3,3,3,3,285,321,21,342
Northland,81,F,45,3,3,3,3,309,357,30,387
Northland,81,Total,75,3,3,3,9,594,681,48,729
Northland,82,M,24,3,3,3,3,282,312,27,336
Northland,82,F,39,3,3,3,3,291,339,24,366
Northland,82,Total,60,3,3,3,6,576,648,51,699
Northland,83,M,21,3,3,3,3,225,249,30,279
Northland,83,F,36,3,3,3,3,276,318,24,342
Northland,83,Total,60,3,3,3,3,501,567,54,621
Northland,84,M,24,3,3,3,3,222,252,18,267
Northland,84,F,24,3,3,3,3,243,273,21,297
Northland,84,Total,51,3,3,3,9,465,525,39,564
Northland,85,M,18,3,3,3,3,216,234,15,252
Northland,85,F,21,3,3,3,3,258,288,27,312
Northland,85,Total,39,3,3,3,3,474,522,45,564
Northland,86,M,9,3,3,3,3,168,180,15,195
Northland,86,F,21,3,3,3,3,231,255,9,261
Northland,86,Total,30,3,3,3,3,399,435,21,456
Northland,87,M,6,3,3,3,3,123,132,15,147
Northland,87,F,21,3,3,3,6,201,225,21,246
Northland,87,Total,27,3,3,3,6,324,357,36,393
Northland,88,M,9,3,3,3,3,93,102,9,114
Northland,88,F,15,3,3,3,3,165,183,18,201
Northland,88,Total,21,3,3,3,3,261,285,27,312
Northland,89,M,3,3,3,3,3,87,93,6,99
Northland,89,F,12,3,3,3,3,150,162,15,177
Northland,89,Total,15,3,3,3,3,237,252,18,276
Northland,90,M,3,3,3,3,3,69,72,6,78
Northland,90,F,6,3,3,3,3,123,129,12,144
