dhb,sex,agecut,pop
Waitemata,F,85+,5400
Auckland,All,0,30140
Auckland,All,5,27100
Auckland,All,10,25840
Auckland,All,15,31330
Auckland,All,20,43260
Auckland,All,25,42100
Auckland,All,30,37790
Auckland,All,35,32560
Auckland,All,40,33430
Auckland,All,45,31970
Auckland,All,50,29820
Auckland,All,55,25370
Auckland,All,60,21310
Auckland,All,65,16150
Auckland,All,70,11760
Auckland,All,75,8080
Auckland,All,80,6020
Auckland,All,85+,6450
Auckland,M,0,15500
Auckland,M,5,13810
Auckland,M,10,13270
Auckland,M,15,15900
Auckland,M,20,21600
Auckland,M,25,20690
Auckland,M,30,18410
Auckland,M,35,15620
Auckland,M,40,15910
Auckland,M,45,15450
Auckland,M,50,14430
Auckland,M,55,12260
Auckland,M,60,10490
Auckland,M,65,7830
Auckland,M,70,5610
Auckland,M,75,3780
Auckland,M,80,2570
Auckland,M,85+,2150
Auckland,F,0,14630
Auckland,F,5,13290
Auckland,F,10,12580
Auckland,F,15,15430
Auckland,F,20,21650
Auckland,F,25,21400
Auckland,F,30,19380
Auckland,F,35,16940
Auckland,F,40,17510
Auckland,F,45,16520
Auckland,F,50,15390
Auckland,F,55,13110
Auckland,F,60,10820
Auckland,F,65,8320
Auckland,F,70,6150
Auckland,F,75,4300
Auckland,F,80,3440
Auckland,F,85+,4300
Counties,All,0,41310
Counties,All,5,39260
Counties,All,10,38660
Counties,All,15,39420
Counties,All,20,37010
Counties,All,25,32730
Counties,All,30,31720
Counties,All,35,31020
Counties,All,40,35540
Counties,All,45,34740
Counties,All,50,32690
Counties,All,55,26890
Counties,All,60,22960
Counties,All,65,18560
Counties,All,70,13470
Counties,All,75,8890
Counties,All,80,6190
Counties,All,85+,5250
Counties,M,0,21230
Counties,M,5,20320
Counties,M,10,19870
Counties,M,15,20130
Counties,M,20,18600
Counties,M,25,15560
Counties,M,30,14750
Counties,M,35,14490
Counties,M,40,16710
Counties,M,45,16770
Counties,M,50,15810
Counties,M,55,13010
Counties,M,60,11150
Counties,M,65,9070
Counties,M,70,6480
Counties,M,75,4150
Counties,M,80,2660
Counties,M,85+,1900
Counties,F,0,20080
Counties,F,5,18940
Counties,F,10,18780
Counties,F,15,19290
Counties,F,20,18410
Counties,F,25,17170
Counties,F,30,16970
Counties,F,35,16520
Counties,F,40,18830
Counties,F,45,17970
Counties,F,50,16880
Counties,F,55,13880
Counties,F,60,11810
Counties,F,65,9490
Counties,F,70,6980
Counties,F,75,4750
Counties,F,80,3530
Counties,F,85+,3350
Waikato,All,0,28230
Waikato,All,5,27150
Waikato,All,10,26640
Waikato,All,15,27480
Waikato,All,20,26880
Waikato,All,25,22940
Waikato,All,30,21670
Waikato,All,35,22250
Waikato,All,40,25490
Waikato,All,45,25120
Waikato,All,50,25810
Waikato,All,55,23030
Waikato,All,60,20450
Waikato,All,65,17990
Waikato,All,70,13620
Waikato,All,75,9690
Waikato,All,80,7300
Waikato,All,85+,6160
Waikato,M,0,14530
Waikato,M,5,13730
Waikato,M,10,13510
Waikato,M,15,14200
Waikato,M,20,13510
Waikato,M,25,11170
Waikato,M,30,10380
Waikato,M,35,10650
Waikato,M,40,12070
Waikato,M,45,12050
Waikato,M,50,12430
Waikato,M,55,11200
Waikato,M,60,9910
Waikato,M,65,8820
Waikato,M,70,6530
Waikato,M,75,4630
Waikato,M,80,3230
Waikato,M,85+,2250
Waikato,F,0,13700
Waikato,F,5,13420
Waikato,F,10,13120
Waikato,F,15,13280
Waikato,F,20,13380
Waikato,F,25,11770
Waikato,F,30,11290
Waikato,F,35,11610
Waikato,F,40,13420
Waikato,F,45,13070
Waikato,F,50,13380
Waikato,F,55,11830
Waikato,F,60,10540
Waikato,F,65,9170
Waikato,F,70,7080
Waikato,F,75,5070
Waikato,F,80,4070
Waikato,F,85+,3910
Lakes,All,0,7840
Lakes,All,5,7770
Lakes,All,10,7740
Lakes,All,15,7160
Lakes,All,20,6170
Lakes,All,25,5840
Lakes,All,30,5590
Lakes,All,35,6210
Lakes,All,40,7140
Lakes,All,45,7100
Lakes,All,50,7390
Lakes,All,55,6400
Lakes,All,60,5820
Lakes,All,65,5070
Lakes,All,70,3920
Lakes,All,75,2580
Lakes,All,80,1900
Lakes,All,85+,1550
Lakes,M,0,4040
Lakes,M,5,3970
Lakes,M,10,4010
Lakes,M,15,3690
Lakes,M,20,3150
Lakes,M,25,2770
Lakes,M,30,2580
Lakes,M,35,2930
Lakes,M,40,3410
Lakes,M,45,3380
Lakes,M,50,3560
Lakes,M,55,3090
Lakes,M,60,2790
Lakes,M,65,2470
Lakes,M,70,1920
Lakes,M,75,1230
Lakes,M,80,860
Lakes,M,85+,550
Lakes,F,0,3800
Lakes,F,5,3800
Lakes,F,10,3730
Lakes,F,15,3480
Lakes,F,20,3020
Lakes,F,25,3070
Lakes,F,30,3000
Lakes,F,35,3280
Lakes,F,40,3730
Lakes,F,45,3710
Lakes,F,50,3830
Lakes,F,55,3310
Lakes,F,60,3030
Lakes,F,65,2600
Lakes,F,70,2000
Lakes,F,75,1350
Lakes,F,80,1040
Lakes,F,85+,1000
BoP,All,0,14950
BoP,All,5,15200
BoP,All,10,15400
BoP,All,15,13940
BoP,All,20,11350
BoP,All,25,10500
BoP,All,30,10760
BoP,All,35,12190
BoP,All,40,14580
BoP,All,45,14530
BoP,All,50,15310
BoP,All,55,14080
BoP,All,60,12930
BoP,All,65,12150
BoP,All,70,9820
BoP,All,75,7200
BoP,All,80,5390
BoP,All,85+,4680
BoP,M,0,7720
BoP,M,5,7830
BoP,M,10,7910
BoP,M,15,7230
BoP,M,20,5710
BoP,M,25,5010
BoP,M,30,5000
BoP,M,35,5680
BoP,M,40,6770
BoP,M,45,6810
BoP,M,50,7240
BoP,M,55,6650
BoP,M,60,6240
BoP,M,65,5870
BoP,M,70,4640
BoP,M,75,3380
BoP,M,80,2490
BoP,M,85+,1760
BoP,F,0,7230
BoP,F,5,7370
BoP,F,10,7480
BoP,F,15,6700
BoP,F,20,5640
BoP,F,25,5500
BoP,F,30,5760
BoP,F,35,6510
BoP,F,40,7810
BoP,F,45,7720
BoP,F,50,8070
BoP,F,55,7420
BoP,F,60,6680
BoP,F,65,6280
BoP,F,70,5180
BoP,F,75,3830
BoP,F,80,2900
BoP,F,85+,2920
Tairawhiti,All,0,3880
Tairawhiti,All,5,3950
Tairawhiti,All,10,3860
Tairawhiti,All,15,3450
Tairawhiti,All,20,2890
Tairawhiti,All,25,2540
Tairawhiti,All,30,2480
Tairawhiti,All,35,2680
Tairawhiti,All,40,3060
Tairawhiti,All,45,3010
Tairawhiti,All,50,3220
Tairawhiti,All,55,2970
Tairawhiti,All,60,2650
Tairawhiti,All,65,2110
Tairawhiti,All,70,1580
Tairawhiti,All,75,1110
Tairawhiti,All,80,860
Tairawhiti,All,85+,690
Tairawhiti,M,0,1960
Tairawhiti,M,5,2050
Tairawhiti,M,10,2040
Tairawhiti,M,15,1770
Tairawhiti,M,20,1450
Tairawhiti,M,25,1160
Tairawhiti,M,30,1120
Tairawhiti,M,35,1270
Tairawhiti,M,40,1420
Tairawhiti,M,45,1410
Tairawhiti,M,50,1530
Tairawhiti,M,55,1460
Tairawhiti,M,60,1330
Tairawhiti,M,65,1030
Tairawhiti,M,70,740
Tairawhiti,M,75,500
Tairawhiti,M,80,380
Tairawhiti,M,85+,240
Tairawhiti,F,0,1920
Tairawhiti,F,5,1890
Tairawhiti,F,10,1820
Tairawhiti,F,15,1680
Tairawhiti,F,20,1450
Tairawhiti,F,25,1380
Tairawhiti,F,30,1370
Tairawhiti,F,35,1410
Tairawhiti,F,40,1640
Tairawhiti,F,45,1600
Tairawhiti,F,50,1690
Tairawhiti,F,55,1510
Tairawhiti,F,60,1320
Tairawhiti,F,65,1080
Tairawhiti,F,70,840
Tairawhiti,F,75,610
Tairawhiti,F,80,480
Tairawhiti,F,85+,460
Taranaki,All,0,8300
Taranaki,All,5,7930
Taranaki,All,10,7860
Taranaki,All,15,7290
Taranaki,All,20,6480
Taranaki,All,25,6380
Taranaki,All,30,6430
Taranaki,All,35,6860
Taranaki,All,40,7930
Taranaki,All,45,7720
Taranaki,All,50,8300
Taranaki,All,55,7360
Taranaki,All,60,6700
Taranaki,All,65,5690
Taranaki,All,70,4230
Taranaki,All,75,3350
Taranaki,All,80,2550
Taranaki,All,85+,2410
Taranaki,M,0,4280
Taranaki,M,5,4050
Taranaki,M,10,4030
Taranaki,M,15,3780
Taranaki,M,20,3370
Taranaki,M,25,3090
Taranaki,M,30,3160
Taranaki,M,35,3230
Taranaki,M,40,3830
Taranaki,M,45,3780
Taranaki,M,50,4010
Taranaki,M,55,3600
Taranaki,M,60,3350
Taranaki,M,65,2770
Taranaki,M,70,2060
Taranaki,M,75,1540
Taranaki,M,80,1110
Taranaki,M,85+,850
Taranaki,F,0,4020
Taranaki,F,5,3880
Taranaki,F,10,3830
Taranaki,F,15,3510
Taranaki,F,20,3100
Taranaki,F,25,3290
Taranaki,F,30,3270
Taranaki,F,35,3630
Taranaki,F,40,4090
Taranaki,F,45,3940
Taranaki,F,50,4300
Taranaki,F,55,3760
Taranaki,F,60,3350
Taranaki,F,65,2910
Taranaki,F,70,2170
Taranaki,F,75,1810
Taranaki,F,80,1430
Taranaki,F,85+,1560
HawkesBay,All,0,11620
HawkesBay,All,5,11410
HawkesBay,All,10,11620
HawkesBay,All,15,10940
HawkesBay,All,20,8650
HawkesBay,All,25,7710
HawkesBay,All,30,7760
HawkesBay,All,35,9070
HawkesBay,All,40,10860
HawkesBay,All,45,10840
HawkesBay,All,50,11690
HawkesBay,All,55,10260
HawkesBay,All,60,9790
HawkesBay,All,65,8470
HawkesBay,All,70,6430
HawkesBay,All,75,4650
HawkesBay,All,80,3490
HawkesBay,All,85+,3220
HawkesBay,M,0,5860
HawkesBay,M,5,5780
HawkesBay,M,10,5860
HawkesBay,M,15,5710
HawkesBay,M,20,4260
HawkesBay,M,25,3700
HawkesBay,M,30,3660
HawkesBay,M,35,4210
HawkesBay,M,40,5060
HawkesBay,M,45,5220
HawkesBay,M,50,5580
HawkesBay,M,55,4880
HawkesBay,M,60,4640
HawkesBay,M,65,4140
HawkesBay,M,70,3070
HawkesBay,M,75,2190
HawkesBay,M,80,1500
HawkesBay,M,85+,1150
HawkesBay,F,0,5760
HawkesBay,F,5,5630
HawkesBay,F,10,5750
HawkesBay,F,15,5230
HawkesBay,F,20,4390
HawkesBay,F,25,4010
HawkesBay,F,30,4100
HawkesBay,F,35,4860
HawkesBay,F,40,5800
HawkesBay,F,45,5620
HawkesBay,F,50,6110
HawkesBay,F,55,5380
HawkesBay,F,60,5150
HawkesBay,F,65,4330
HawkesBay,F,70,3360
HawkesBay,F,75,2460
HawkesBay,F,80,1980
HawkesBay,F,85+,2060
Whanganui,All,0,4440
Whanganui,All,5,4200
Whanganui,All,10,4320
Whanganui,All,15,4250
Whanganui,All,20,3550
Whanganui,All,25,3130
Whanganui,All,30,3050
Whanganui,All,35,3280
Whanganui,All,40,3880
Whanganui,All,45,4280
Whanganui,All,50,4670
Whanganui,All,55,4290
Whanganui,All,60,3760
Whanganui,All,65,3410
Whanganui,All,70,2670
Whanganui,All,75,2100
Whanganui,All,80,1560
Whanganui,All,85+,1410
Whanganui,M,0,2240
Whanganui,M,5,2170
Whanganui,M,10,2240
Whanganui,M,15,2200
Whanganui,M,20,1810
Whanganui,M,25,1520
Whanganui,M,30,1490
Whanganui,M,35,1570
Whanganui,M,40,1850
Whanganui,M,45,2020
Whanganui,M,50,2300
Whanganui,M,55,2110
Whanganui,M,60,1870
Whanganui,M,65,1680
Whanganui,M,70,1220
Whanganui,M,75,940
Whanganui,M,80,700
Whanganui,M,85+,480
Whanganui,F,0,2200
Whanganui,F,5,2040
Whanganui,F,10,2080
Whanganui,F,15,2050
Whanganui,F,20,1740
Whanganui,F,25,1610
Whanganui,F,30,1560
Whanganui,F,35,1710
Whanganui,F,40,2030
Whanganui,F,45,2260
Whanganui,F,50,2370
Whanganui,F,55,2180
Whanganui,F,60,1880
Whanganui,F,65,1730
Whanganui,F,70,1460
Whanganui,F,75,1160
Whanganui,F,80,860
Whanganui,F,85+,930
MidCentral,All,0,11520
MidCentral,All,5,11370
MidCentral,All,10,11380
MidCentral,All,15,12530
MidCentral,All,20,12680
MidCentral,All,25,9870
MidCentral,All,30,9040
MidCentral,All,35,9360
MidCentral,All,40,10820
MidCentral,All,45,11030
MidCentral,All,50,11930
MidCentral,All,55,10370
MidCentral,All,60,9520
MidCentral,All,65,8540
MidCentral,All,70,6760
MidCentral,All,75,5020
MidCentral,All,80,3790
MidCentral,All,85+,3400
MidCentral,M,0,5800
MidCentral,M,5,5810
MidCentral,M,10,5800
MidCentral,M,15,6280
MidCentral,M,20,6330
MidCentral,M,25,4740
MidCentral,M,30,4230
MidCentral,M,35,4420
MidCentral,M,40,5100
MidCentral,M,45,5270
MidCentral,M,50,5750
MidCentral,M,55,4980
MidCentral,M,60,4550
MidCentral,M,65,4200
MidCentral,M,70,3200
MidCentral,M,75,2370
MidCentral,M,80,1650
MidCentral,M,85+,1250
MidCentral,F,0,5720
MidCentral,F,5,5560
MidCentral,F,10,5580
MidCentral,F,15,6250
MidCentral,F,20,6350
MidCentral,F,25,5120
MidCentral,F,30,4810
MidCentral,F,35,4930
MidCentral,F,40,5720
MidCentral,F,45,5760
MidCentral,F,50,6180
MidCentral,F,55,5390
MidCentral,F,60,4960
MidCentral,F,65,4350
MidCentral,F,70,3550
MidCentral,F,75,2650
MidCentral,F,80,2130
MidCentral,F,85+,2150
Hutt,All,0,10300
Hutt,All,5,9900
Hutt,All,10,9790
Hutt,All,15,9770
Hutt,All,20,9070
Hutt,All,25,8380
Hutt,All,30,8910
Hutt,All,35,9500
Hutt,All,40,10900
Hutt,All,45,10380
Hutt,All,50,10560
Hutt,All,55,8730
Hutt,All,60,7390
Hutt,All,65,6210
Hutt,All,70,4620
Hutt,All,75,3280
Hutt,All,80,2560
Hutt,All,85+,2220
Hutt,M,0,5180
Hutt,M,5,5090
Hutt,M,10,5040
Hutt,M,15,5040
Hutt,M,20,4490
Hutt,M,25,4030
Hutt,M,30,4220
Hutt,M,35,4520
Hutt,M,40,5250
Hutt,M,45,5020
Hutt,M,50,5120
Hutt,M,55,4280
Hutt,M,60,3680
Hutt,M,65,2990
Hutt,M,70,2190
Hutt,M,75,1460
Hutt,M,80,1080
Hutt,M,85+,800
Hutt,F,0,5120
Hutt,F,5,4800
Hutt,F,10,4750
Hutt,F,15,4730
Hutt,F,20,4580
Hutt,F,25,4350
Hutt,F,30,4690
Hutt,F,35,4980
Hutt,F,40,5650
Hutt,F,45,5360
Hutt,F,50,5440
Hutt,F,55,4450
Hutt,F,60,3710
Hutt,F,65,3220
Hutt,F,70,2430
Hutt,F,75,1810
Hutt,F,80,1480
Hutt,F,85+,1410
CapitalCoast,All,0,19210
CapitalCoast,All,5,18140
CapitalCoast,All,10,17600
CapitalCoast,All,15,20810
CapitalCoast,All,20,25710
CapitalCoast,All,25,21520
CapitalCoast,All,30,20970
CapitalCoast,All,35,20700
CapitalCoast,All,40,22180
CapitalCoast,All,45,21260
CapitalCoast,All,50,19930
CapitalCoast,All,55,16240
CapitalCoast,All,60,14020
CapitalCoast,All,65,11710
CapitalCoast,All,70,8540
CapitalCoast,All,75,5980
CapitalCoast,All,80,4640
CapitalCoast,All,85+,4300
CapitalCoast,M,0,9830
CapitalCoast,M,5,9150
CapitalCoast,M,10,8950
CapitalCoast,M,15,10280
CapitalCoast,M,20,12340
CapitalCoast,M,25,10360
CapitalCoast,M,30,10170
CapitalCoast,M,35,9920
CapitalCoast,M,40,10490
CapitalCoast,M,45,10200
CapitalCoast,M,50,9600
CapitalCoast,M,55,7780
CapitalCoast,M,60,6820
CapitalCoast,M,65,5630
CapitalCoast,M,70,4010
CapitalCoast,M,75,2740
CapitalCoast,M,80,1980
CapitalCoast,M,85+,1540
CapitalCoast,F,0,9380
CapitalCoast,F,5,9000
CapitalCoast,F,10,8650
CapitalCoast,F,15,10530
CapitalCoast,F,20,13370
CapitalCoast,F,25,11150
CapitalCoast,F,30,10810
CapitalCoast,F,35,10780
CapitalCoast,F,40,11690
CapitalCoast,F,45,11050
CapitalCoast,F,50,10330
CapitalCoast,F,55,8470
CapitalCoast,F,60,7200
CapitalCoast,F,65,6090
CapitalCoast,F,70,4530
CapitalCoast,F,75,3250
CapitalCoast,F,80,2660
CapitalCoast,F,85+,2770
Wairarapa,All,0,2750
Wairarapa,All,5,2860
Wairarapa,All,10,2830
Wairarapa,All,15,2720
Wairarapa,All,20,2080
Wairarapa,All,25,1760
Wairarapa,All,30,1980
Wairarapa,All,35,2250
Wairarapa,All,40,2870
Wairarapa,All,45,2900
Wairarapa,All,50,3210
Wairarapa,All,55,3130
Wairarapa,All,60,2950
Wairarapa,All,65,2680
Wairarapa,All,70,1990
Wairarapa,All,75,1420
Wairarapa,All,80,1040
Wairarapa,All,85+,960
Wairarapa,M,0,1460
Wairarapa,M,5,1440
Wairarapa,M,10,1440
Wairarapa,M,15,1420
Wairarapa,M,20,1020
Wairarapa,M,25,860
Wairarapa,M,30,920
Wairarapa,M,35,1060
Wairarapa,M,40,1330
Wairarapa,M,45,1420
Wairarapa,M,50,1500
Wairarapa,M,55,1580
Wairarapa,M,60,1460
Wairarapa,M,65,1330
Wairarapa,M,70,960
Wairarapa,M,75,670
Wairarapa,M,80,450
Wairarapa,M,85+,330
Wairarapa,F,0,1290
Wairarapa,F,5,1420
Wairarapa,F,10,1390
Wairarapa,F,15,1300
Wairarapa,F,20,1050
Wairarapa,F,25,900
Wairarapa,F,30,1060
Wairarapa,F,35,1190
Wairarapa,F,40,1540
Wairarapa,F,45,1480
Wairarapa,F,50,1710
Wairarapa,F,55,1550
Wairarapa,F,60,1490
Wairarapa,F,65,1350
Wairarapa,F,70,1030
Wairarapa,F,75,750
Wairarapa,F,80,600
Wairarapa,F,85+,630
NelsonMarlb,All,0,8660
NelsonMarlb,All,5,9150
NelsonMarlb,All,10,9170
NelsonMarlb,All,15,8570
NelsonMarlb,All,20,6480
NelsonMarlb,All,25,6640
NelsonMarlb,All,30,6970
NelsonMarlb,All,35,8220
NelsonMarlb,All,40,10230
NelsonMarlb,All,45,10470
NelsonMarlb,All,50,11260
NelsonMarlb,All,55,10290
NelsonMarlb,All,60,9860
NelsonMarlb,All,65,8860
NelsonMarlb,All,70,6420
NelsonMarlb,All,75,4470
NelsonMarlb,All,80,3260
NelsonMarlb,All,85+,3150
NelsonMarlb,M,0,4420
NelsonMarlb,M,5,4680
NelsonMarlb,M,10,4720
NelsonMarlb,M,15,4510
NelsonMarlb,M,20,3370
NelsonMarlb,M,25,3230
NelsonMarlb,M,30,3240
NelsonMarlb,M,35,3910
NelsonMarlb,M,40,4860
NelsonMarlb,M,45,5010
NelsonMarlb,M,50,5370
NelsonMarlb,M,55,5060
NelsonMarlb,M,60,4790
NelsonMarlb,M,65,4410
NelsonMarlb,M,70,3210
NelsonMarlb,M,75,2130
NelsonMarlb,M,80,1470
NelsonMarlb,M,85+,1190
NelsonMarlb,F,0,4250
NelsonMarlb,F,5,4470
NelsonMarlb,F,10,4440
NelsonMarlb,F,15,4060
NelsonMarlb,F,20,3110
NelsonMarlb,F,25,3420
NelsonMarlb,F,30,3730
NelsonMarlb,F,35,4310
NelsonMarlb,F,40,5380
NelsonMarlb,F,45,5460
NelsonMarlb,F,50,5890
NelsonMarlb,F,55,5230
NelsonMarlb,F,60,5070
NelsonMarlb,F,65,4450
NelsonMarlb,F,70,3220
NelsonMarlb,F,75,2340
NelsonMarlb,F,80,1800
NelsonMarlb,F,85+,1960
WCoast,All,0,2210
WCoast,All,5,2070
WCoast,All,10,2040
WCoast,All,15,1930
WCoast,All,20,1750
WCoast,All,25,1670
WCoast,All,30,1690
WCoast,All,35,1880
WCoast,All,40,2360
WCoast,All,45,2580
WCoast,All,50,2840
WCoast,All,55,2500
WCoast,All,60,2150
WCoast,All,65,1830
WCoast,All,70,1340
WCoast,All,75,910
WCoast,All,80,680
WCoast,All,85+,530
WCoast,M,0,1090
WCoast,M,5,1100
WCoast,M,10,1050
WCoast,M,15,1000
WCoast,M,20,910
WCoast,M,25,820
WCoast,M,30,780
WCoast,M,35,900
WCoast,M,40,1140
WCoast,M,45,1270
WCoast,M,50,1440
WCoast,M,55,1320
WCoast,M,60,1160
WCoast,M,65,960
WCoast,M,70,700
WCoast,M,75,450
WCoast,M,80,310
WCoast,M,85+,220
WCoast,F,0,1120
WCoast,F,5,970
WCoast,F,10,990
WCoast,F,15,930
WCoast,F,20,840
WCoast,F,25,850
WCoast,F,30,910
WCoast,F,35,980
WCoast,F,40,1220
WCoast,F,45,1310
WCoast,F,50,1400
WCoast,F,55,1170
WCoast,F,60,990
WCoast,F,65,880
WCoast,F,70,640
WCoast,F,75,470
WCoast,F,80,360
WCoast,F,85+,300
Canterbury,All,0,32150
Canterbury,All,5,31430
Canterbury,All,10,31240
Canterbury,All,15,34130
Canterbury,All,20,37000
Canterbury,All,25,31360
Canterbury,All,30,30210
Canterbury,All,35,31590
Canterbury,All,40,37270
Canterbury,All,45,36480
Canterbury,All,50,36720
Canterbury,All,55,31880
Canterbury,All,60,28280
Canterbury,All,65,23640
Canterbury,All,70,17640
Canterbury,All,75,12820
Canterbury,All,80,10280
Canterbury,All,85+,9510
Canterbury,M,0,16470
Canterbury,M,5,16100
Canterbury,M,10,15940
Canterbury,M,15,17940
Canterbury,M,20,19850
Canterbury,M,25,16170
Canterbury,M,30,14940
Canterbury,M,35,15440
Canterbury,M,40,18010
Canterbury,M,45,17890
Canterbury,M,50,18190
Canterbury,M,55,15730
Canterbury,M,60,13990
Canterbury,M,65,11550
Canterbury,M,70,8410
Canterbury,M,75,5870
Canterbury,M,80,4440
Canterbury,M,85+,3420
Canterbury,F,0,15680
Canterbury,F,5,15330
Canterbury,F,10,15300
Canterbury,F,15,16190
Canterbury,F,20,17150
Canterbury,F,25,15190
Canterbury,F,30,15280
Canterbury,F,35,16140
Canterbury,F,40,19260
Canterbury,F,45,18590
Canterbury,F,50,18530
Canterbury,F,55,16150
Canterbury,F,60,14290
Canterbury,F,65,12090
Canterbury,F,70,9230
Canterbury,F,75,6950
Canterbury,F,80,5840
Canterbury,F,85+,6090
SCanterbury,All,0,3460
SCanterbury,All,5,3470
SCanterbury,All,10,3660
SCanterbury,All,15,3640
SCanterbury,All,20,2870
SCanterbury,All,25,2640
SCanterbury,All,30,2690
SCanterbury,All,35,3090
SCanterbury,All,40,3870
SCanterbury,All,45,4110
SCanterbury,All,50,4500
SCanterbury,All,55,4050
SCanterbury,All,60,3960
SCanterbury,All,65,3480
SCanterbury,All,70,2840
SCanterbury,All,75,2090
SCanterbury,All,80,1650
SCanterbury,All,85+,1500
SCanterbury,M,0,1840
SCanterbury,M,5,1810
SCanterbury,M,10,1880
SCanterbury,M,15,1960
SCanterbury,M,20,1490
SCanterbury,M,25,1300
SCanterbury,M,30,1300
SCanterbury,M,35,1470
SCanterbury,M,40,1850
SCanterbury,M,45,1950
SCanterbury,M,50,2210
SCanterbury,M,55,2030
SCanterbury,M,60,1950
SCanterbury,M,65,1690
SCanterbury,M,70,1380
SCanterbury,M,75,940
SCanterbury,M,80,750
SCanterbury,M,85+,520
SCanterbury,F,0,1620
SCanterbury,F,5,1660
SCanterbury,F,10,1780
SCanterbury,F,15,1680
SCanterbury,F,20,1380
SCanterbury,F,25,1340
SCanterbury,F,30,1390
SCanterbury,F,35,1620
SCanterbury,F,40,2030
SCanterbury,F,45,2160
SCanterbury,F,50,2290
SCanterbury,F,55,2020
SCanterbury,F,60,2000
SCanterbury,F,65,1780
SCanterbury,F,70,1460
SCanterbury,F,75,1150
SCanterbury,F,80,900
SCanterbury,F,85+,980
Southern,All,0,19110
Southern,All,5,18530
Southern,All,10,18600
Southern,All,15,22930
Southern,All,20,24390
Southern,All,25,17760
Southern,All,30,17660
Southern,All,35,18390
Southern,All,40,20860
Southern,All,45,20790
Southern,All,50,22240
Southern,All,55,19960
Southern,All,60,17540
