ethnicity,agecut,Year,sex,erppop
Pasifika,40,2013,F,10300
Pasifika,45,2006,M,7120
Pasifika,45,2006,F,7490
Pasifika,45,2013,M,8930
Pasifika,45,2013,F,9590
Pasifika,50,2006,M,5710
Pasifika,50,2006,F,5780
Pasifika,50,2013,M,7370
Pasifika,50,2013,F,7920
Pasifika,55,2006,M,4320
Pasifika,55,2006,F,4490
Pasifika,55,2013,M,5720
Pasifika,55,2013,F,5930
Pasifika,60,2006,M,3130
Pasifika,60,2006,F,3310
Pasifika,60,2013,M,4560
Pasifika,60,2013,F,4780
Pasifika,65,2006,M,2300
Pasifika,65,2006,F,2610
Pasifika,65,2013,M,3200
Pasifika,65,2013,F,3410
Pasifika,70,2006,M,1320
Pasifika,70,2006,F,1750
Pasifika,70,2013,M,2060
Pasifika,70,2013,F,2410
Pasifika,75,2006,M,860
Pasifika,75,2006,F,1110
Pasifika,75,2013,M,1200
Pasifika,75,2013,F,1550
Pasifika,80,2006,M,390
Pasifika,80,2006,F,640
Pasifika,80,2013,M,600
Pasifika,80,2013,F,950
Pasifika,85,2006,M,130
Pasifika,85,2006,F,280
Pasifika,85,2013,M,220
Pasifika,85,2013,F,480
Pasifika,90+,2006,M,30
Pasifika,90+,2006,F,120
Pasifika,90+,2013,M,70
Pasifika,90+,2013,F,160
Asian,0,2006,M,13890
Asian,0,2006,F,12980
Asian,0,2013,M,21100
Asian,0,2013,F,20030
Asian,5,2006,M,13740
Asian,5,2006,F,13170
Asian,5,2013,M,17450
Asian,5,2013,F,16480
Asian,10,2006,M,15360
Asian,10,2006,F,14450
Asian,10,2013,M,16800
Asian,10,2013,F,15990
Asian,15,2006,M,18210
Asian,15,2006,F,17630
Asian,15,2013,M,21650
Asian,15,2013,F,19940
Asian,20,2006,M,26890
Asian,20,2006,F,26840
Asian,20,2013,M,29690
Asian,20,2013,F,25940
Asian,25,2006,M,19110
Asian,25,2006,F,20270
Asian,25,2013,M,28040
Asian,25,2013,F,29520
Asian,30,2006,M,14390
Asian,30,2006,F,17650
Asian,30,2013,M,25740
Asian,30,2013,F,28380
Asian,35,2006,M,14260
Asian,35,2006,F,18490
Asian,35,2013,M,18620
Asian,35,2013,F,21620
Asian,40,2006,M,15640
Asian,40,2006,F,18730
Asian,40,2013,M,17140
Asian,40,2013,F,21910
Asian,45,2006,M,13090
Asian,45,2006,F,15170
Asian,45,2013,M,16180
Asian,45,2013,F,19810
Asian,50,2006,M,9840
Asian,50,2006,F,11000
Asian,50,2013,M,14310
Asian,50,2013,F,17490
Asian,55,2006,M,7120
Asian,55,2006,F,7710
Asian,55,2013,M,11840
Asian,55,2013,F,14420
Asian,60,2006,M,4630
Asian,60,2006,F,5210
Asian,60,2013,M,8960
Asian,60,2013,F,10280
Asian,65,2006,M,3950
Asian,65,2006,F,4270
Asian,65,2013,M,6040
Asian,65,2013,F,6690
Asian,70,2006,M,2660
Asian,70,2006,F,2700
Asian,70,2013,M,4170
Asian,70,2013,F,4570
Asian,75,2006,M,1390
Asian,75,2006,F,1500
Asian,75,2013,M,2890
Asian,75,2013,F,2990
Asian,80,2006,M,620
Asian,80,2006,F,860
Asian,80,2013,M,1390
Asian,80,2013,F,1590
Asian,85,2006,M,230
Asian,85,2006,F,390
Asian,85,2013,M,490
Asian,85,2013,F,670
Asian,90+,2006,M,90
Asian,90+,2006,F,190
Asian,90+,2013,M,160
Asian,90+,2013,F,320
Other,0,2006,M,1980
Other,0,2006,F,1760
Other,0,2013,M,2700
Other,0,2013,F,2640
Other,5,2006,M,1740
Other,5,2006,F,1670
Other,5,2013,M,2210
Other,5,2013,F,2100
Other,10,2006,M,1620
Other,10,2006,F,1560
Other,10,2013,M,1980
Other,10,2013,F,1790
Other,15,2006,M,2010
Other,15,2006,F,1710
Other,15,2013,M,2190
Other,15,2013,F,1990
Other,20,2006,M,2080
Other,20,2006,F,1820
Other,20,2013,M,2720
Other,20,2013,F,2360
Other,25,2006,M,1880
Other,25,2006,F,1920
Other,25,2013,M,2860
Other,25,2013,F,2750
Other,30,2006,M,1840
Other,30,2006,F,1820
Other,30,2013,M,2890
Other,30,2013,F,2920
Other,35,2006,M,1920
Other,35,2006,F,1560
Other,35,2013,M,2260
Other,35,2013,F,2320
Other,40,2006,M,1570
Other,40,2006,F,1370
Other,40,2013,M,2010
Other,40,2013,F,1880
Other,45,2006,M,1230
Other,45,2006,F,1060
Other,45,2013,M,1670
Other,45,2013,F,1570
Other,50,2006,M,840
Other,50,2006,F,790
Other,50,2013,M,1290
Other,50,2013,F,1210
Other,55,2006,M,550
Other,55,2006,F,490
Other,55,2013,M,950
Other,55,2013,F,910
Other,60,2006,M,350
Other,60,2006,F,320
Other,60,2013,M,630
Other,60,2013,F,520
Other,65,2006,M,180
Other,65,2006,F,220
Other,65,2013,M,390
Other,65,2013,F,350
Other,70,2006,M,140
Other,70,2006,F,170
Other,70,2013,M,230
Other,70,2013,F,230
Other,75,2006,M,100
Other,75,2006,F,100
Other,75,2013,M,130
Other,75,2013,F,150
Other,80,2006,M,50
Other,80,2006,F,70
Other,80,2013,M,80
Other,80,2013,F,100
Other,85,2006,M,10
Other,85,2006,F,20
Other,85,2013,M,50
Other,85,2013,F,60
Other,90+,2006,M,10
Other,90+,2006,F,20
Other,90+,2013,M,10
Other,90+,2013,F,30
